3999,a,208,2209
2379,F,4403,393
3579,M,152,4638
2632,m,4816,1320
634,D,3748,1681
396,M,4319,595
2279,q,1774,4669
619,P,3423,4499
3329,v,485,3997
937,S,2429,663
2000,b,4316,12
523,V,4671,3553
1509,L,1247,1948
3940,A,301,66
1862,d,2773,2606
4802,a,190,3805
2474,P,2377,2674
4139,e,4190,2192
217,V,3600,2055
4837,o,2967,1106
402,E,1609,3554
2141,s,1146,3181
4322,P,890,124
1411,h,1620,3833
2,j,1914,2369
4629,L,3682,296
971,E,654,399
479,i,2457,1516
3971,B,2787,4667
3551,J,2141,268
2684,S,1429,3704
802,E,1838,3477
1461,o,35,4469
1805,W,2771,4286
2892,q,3350,1001
2726,o,128,659
1693,L,160,1413
903,v,2247,296
3131,A,2907,1277
1382,b,4728,3648
4757,q,321,53
2236,l,358,2278
4194,E,4099,4647
3669,a,213,1015
3173,V,4947,3391
2356,t,1255,4652
1223,U,3796,1508
888,P,3967,4220
486,e,3701,2683
3982,s,573,2177
4747,U,3119,4247
