3931,U,1112,3169
1097,L,4689,4966
4686,J,3885,377
4971,O,1307,3689
391,H,4047,452
2195,Z,3458,1622
791,P,4904,148
4471,B,3965,3260
2517,F,1981,2873
3798,T,1969,844
4581,I,3631,4570
466,Z,2181,2037
3725,R,1973,4542
654,J,1428,2203
2118,S,2440,3549
1136,V,67,1015
153,Q,2940,2346
1515,B,4442,740
512,S,3549,3887
3830,H,1368,2010
2684,T,3683,4182
2042,Q,3956,1098
996,Z,4206,2820
3998,A,4960,4895
3564,H,4798,4940
2566,Q,4136,3070
3743,C,4830,4713
1116,Z,3995,4716
664,P,1830,3882
3894,K,4992,4267
1865,Y,2398,2629
878,X,3002,2543
1383,O,18,393
3685,I,3236,4162
2921,T,2691,3628
1364,H,2881,1865
427,B,1911,3693
2948,D,1536,1691
1218,J,250,453
4906,O,729,1935
3902,O,4022,1883
3061,K,2721,245
559,R,4027,4795
56,P,1053,2359
3421,A,2444,730
4127,V,3191,2766
3502,Z,4480,2261
3187,F,2135,1132
544,O,1330,3867
3259,A,1435,112
2985,W,136,2289
3191,H,599,3043
2314,N,775,3308
1986,T,1903,2113
1796,J,282,3785
4867,B,600,4512
4923,W,2423,2174
1618,T,4734,3406
2989,M,3296,4799
2175,S,2856,3356
3288,R,1473,3758
2417,O,226,3770
1479,V,4984,1820
1437,Q,1985,4173
546,V,3825,433
2989,I,333,508
4596,P,3650,4147
991,L,2877,4478
4584,X,2964,4456
1369,P,3919,268
4901,T,3404,2298
2455,N,3556,1666
2931,Y,780,399
3828,Z,3531,4504
4773,J,1971,1258
2773,U,1615,3590
3370,J,2016,3433
1122,Z,1139,4118
819,I,463,4816
3030,Z,3972,3508
4872,A,4903,4681
1517,V,3555,1335
3733,A,881,1245
1387,T,421,3387
1865,W,4992,529
2855,M,2130,3328
4605,J,3808,4357
1722,Z,4395,3846
4832,N,2771,3847
4878,E,941,2111
1976,B,2073,3496
2067,H,4096,501
4191,U,274,342
708,V,747,1639
2874,J,4439,2698
1589,A,4201,187
3932,Q,3206,4002
2348,H,3712,4827
270,N,1830,2240
1872,V,3539,3120
